Ticker,Market Cap
FAST,41681453056
ICE,79347400704
IVZ,6976138240
DG,32762120192
HAL,31723235328
CL,71194329088
HUBB,20634060800
ABT,205827063808
GILD,90081624064
ULTA,26707853312
OMC,17510500352
PRU,38798921728
CMI,38338273280
ED,30062827520
NTRS,16955715584
CMS,17118973952
ADBE,258060353536
DTE,22319632384
EMN,10219488256
TGT,71691493376
EQR,23054108672
PCAR,59298430976
BMY,102909247488
RSG,57779937280
MNST,61570764800
EIX,25590073344
AKAM,16646239232
SBUX,105477619712
CME,78914068480
V,581630492672
CTRA,19517945856
APD,52463034368
CDNS,85820620800
TROW,25380595712
MS,141418151936
WAB,25152278528
NDSN,15218272256
ALGN,22977497088
INCY,13258260480
IEX,18114637824
MDLZ,97444757504
NEE,113314652160
PFG,18881234944
WBD,21152112640
KO,256720732160
SNA,14617452544
VTRS,15103845376
ZBRA,14882109440
WELL,52746371072
HAS,6972891136
SWK,13732067328
AJG,52799471616
EXPE,18649649152
JNJ,390509789184
HCA,82518401024
KLAC,97039859712
NUE,45910069248
CAT,168140242944
MA,444644327424
DHI,50758045696
MET,50416189440
AMCR,13138141184
DFS,30269550592
ADM,28930586624
VRTX,111785369600
ABBV,316039168000
LH,18333800448
FE,20967098368
COP,134393077760
JBL,18772219904
CZR,9292248064
TRV,50137354240
ETN,117274411008
LLY,743142260736
ITW,77744775168
IBM,172531417088
APH,66469928960
KMX,12523134976
PPG,32822779904
XYL,30910304256
DGX,13802948608
AMD,327423688704
HPQ,28777125888
JKHY,12530329600
AES,10988139520
IPG,11816219648
POOL,15603575808
BIO,9476165632
SO,72945598464
MSCI,44724490240
APTV,22057797632
JPM,533703720960
ODFL,48354103296
VFC,6314371584
AVGO,648404795392
PGR,110007713792
CMA,6540822016
GM,47320084480
FITB,23413600256
LNT,12223652864
L,16538420224
TPR,10830662656
ON,34673475584
NXPI,66040762368
GD,74508861440
MCO,69531279360
EMR,61823635456
INTU,186611613696
KMB,41402920960
PKG,16149403648
PNR,12950691840
ROK,33122816000
AON,62311182336
GWW,48234188800
PWR,35109474304
AVB,25300332544
ATO,17004193792
LOW,140452069376
SPGI,134752043008
CPRT,51515138048
ACN,238877671424
IT,36760309760
USB,64537743360
AEE,18992515072
BBWI,10320985088
PCG,43348742144
AAL,10253494272
PXD,55431733248
VLO,47638020096
NOC,68251373568
CCI,48223916032
STZ,45704998912
CDW,33194055680
MGM,13733366784
WM,82644852736
PH,69059436544
LVS,38645682176
GLW,27695230976
BAX,20825985024
AXON,23663904768
NRG,11803109376
BRO,23933057024
DE,102994329600
BEN,14438220800
GPC,20803307520
GOOG,1710397063168
RF,17081681920
UNP,154261635072
PODD,11834924032
LUV,20262744064
CVS,92923944960
NVR,24559362048
AMP,41178480640
ALLE,11101897728
CVX,283809415168
HSIC,9936585728
PAYX,43981045760
K,18679375872
FTNT,53747904512
AVY,17447845888
CFG,14510483456
PM,139457495040
GS,126351007744
BALL,20289466368
XEL,27519080448
OKE,43812732928
WY,25467578368
HOLX,17288011776
WRB,21214035968
SHW,85304303616
WFC,196973854720
BIIB,32117510144
BA,122026991616
GIS,36310884352
HLT,51662745600
JNPR,12121631744
CTSH,39135358976
GEN,13903746048
CNC,41708617728
TDG,65797267456
TXN,155533721600
CBOE,19745945600
RL,11825597440
CINF,17787744256
NKE,154360414208
RHI,8496678912
JBHT,21003583488
TMUS,193898954752
TYL,18639532032
TECH,11691940864
AMAT,174696103936
EBAY,24937949184
ROL,21290940416
COO,20309342208
LYV,22422026240
IFF,19373301760
CTAS,63697481728
HST,14950151168
NWS,15173353472
BKNG,119589273600
